t_ns,t_bag_ns,left_pos_rad,right_pos_rad,left_vel_radps,right_vel_radps
1784885731937680387,1784885731940170072,365.285361549,335.960246772,0.22712238336907017,0.17014394572944283
1784885731987742623,1784885731994160801,365.570682015,336.168868188,0.22949648493738797,0.17014394572944283
1784885732037856210,1784885732042013562,365.998662714,336.489470217,0.22712238336907017,0.17014394572944283
1784885732087869574,1784885732098318748,366.28551716100003,336.701159595,0.22633101617963092,0.16935257854000355
1784885732137887331,1784885732140426081,366.71349786,337.023295605,0.2215828130429953,0.17410078167663917
1784885732187990115,1784885732201436297,366.991148421,337.242654888,0.20971230520140627,0.18676265670766745
1784885732237975285,1784885732241492444,367.389983481,337.595470518,0.2010072661175743,0.19467632860206016
1784885732288085798,1784885732290060003,367.646158308,337.84397544,0.20021589892813504,0.19942453173869576
1784885732338086557,1784885732347949499,367.899265173,338.095548324,0.2010072661175743,0.19942453173869576
1784885732388235497,1784885732392689154,368.279692461,338.471373669,0.19942453173869576,0.1986331645492565
1784885732438181833,1784885732449060423,368.53279932600003,338.719878591,0.20021589892813504,0.19784179735981722
1784885732488305618,1784885732491390823,368.90709069,339.09723791700003,0.20021589892813504,0.19942453173869576
1784885732538272326,1784885732540919385,369.157129593,339.34727682,0.2010072661175743,0.19942453173869576
1784885732588368585,1784885732595248921,369.407168496,339.600383685,0.2010072661175743,0.1986331645492565
1784885732638371013,1784885732641028081,369.778391898,339.979276992,0.19784179735981722,0.1986331645492565
1784885732688471442,1784885732699095249,370.022294877,340.232383857,0.19784179735981722,0.1986331645492565
1784885732738542992,1784885732741559111,370.393518279,340.606675221,0.19784179735981722,0.20021589892813504
1784885732788509663,1784885732802200323,370.64202320100003,340.855180143,0.1986331645492565,0.20021589892813504
1784885732838562324,1784885732842383425,371.014780584,341.232539469,0.19784179735981722,0.1986331645492565
1784885732888659843,1784885732891366812,371.266353468,341.482578372,0.1986331645492565,0.19942453173869576
1784885732938666757,1784885732946396951,371.513324409,341.732617275,0.1986331645492565,0.19942453173869576
1784885732988792674,1784885732992400754,371.887615773,342.102306696,0.20021589892813504,0.1986331645492565
1784885733038752510,1784885733050682132,372.140722638,342.346209675,0.20021589892813504,0.1986331645492565
1784885733088830047,1784885733092227540,372.515014002,342.720501039,0.19784179735981722,0.19784179735981722
1784885733138842487,1784885733141547321,372.765052905,342.96747198,0.1986331645492565,0.1986331645492565
1784885733188901118,1784885733196274564,373.015091808,343.215976902,0.1986331645492565,0.20021589892813504
1784885733238949720,1784885733240672869,373.389383172,343.593336228,0.19705043017037796,0.19705043017037796
1784885733289049760,1784885733298876530,373.642490037,343.84184115,0.18913675827598528,0.20733820363308847
1784885733339026500,1784885733341726070,374.004509553,344.234540286,0.1812230863815926,0.2168346099063597
1784885733389136029,1784885733402015677,374.234606703,344.510656866,0.1733094144871999,0.22633101617963092
1784885733439121240,1784885733443803347,374.56594659900003,344.938637565,0.17172668010832134,0.22870511774794872
1784885733489323819,1784885733491957531,374.779169958,345.227025993,0.17172668010832134,0.22712238336907017
1784885733539224544,1784885733548121417,374.99699526,345.510812478,0.17251804729776063,0.22791375055850946
1784885733589296428,1784885733593080037,375.317597289,345.94339512,0.17172668010832134,0.22633101617963092
1784885733639392760,1784885733652120842,375.532354629,346.227181605,0.1812230863815926,0.22000007866411675
1784885733689426886,1784885733692455575,375.865228506,346.64902638,0.19309359422318162,0.20575546925420993
1784885733739438103,1784885733743103195,376.107597504,346.899065283,0.1962590629809387,0.2010072661175743
1784885733789551599,1784885733795354649,376.353034464,347.152172148,0.19784179735981722,0.1986331645492565
1784885733839502315,1784885733841523517,376.724257866,347.526463512,0.1986331645492565,0.20021589892813504
1784885733889555607,1784885733901346378,376.969694826,347.781104358,0.19942453173869576,0.2010072661175743
1784885733939586101,1784885733943124335,377.342452209,348.15232776,0.19705043017037796,0.1986331645492565
1784885733989746140,1784885734003267603,377.592491112,348.399298701,0.1986331645492565,0.19784179735981722
1784885734039677808,1784885734044397355,377.966782476,348.770522103,0.1986331645492565,0.19784179735981722
1784885734089742725,1784885734092566761,378.21835536000003,349.017493044,0.20021589892813504,0.19784179735981722
1784885734139752686,1784885734147906791,378.469928244,349.262930004,0.19942453173869576,0.19705043017037796
1784885734189855302,1784885734194359566,378.844219608,349.638755349,0.1986331645492565,0.1986331645492565
1784885734239861538,1784885734252058517,379.094258511,349.887260271,0.1986331645492565,0.1986331645492565
1784885734289951829,1784885734293957670,379.47008385600003,350.258483673,0.1986331645492565,0.1986331645492565
1784885734339941809,1784885734342756837,379.72165674,350.511590538,0.19705043017037796,0.1986331645492565
1784885734389975531,1784885734397148416,379.97169564300003,350.761629441,0.19784179735981722,0.19942453173869576
1784885734440092123,1784885734442784988,380.35058895000003,351.140522748,0.19942453173869576,0.19942453173869576
1784885734490171961,1784885734500686173,380.605229796,351.387493689,0.2010072661175743,0.19942453173869576
1784885734540129226,1784885734543628360,380.984123103,351.769454958,0.19942453173869576,0.1986331645492565
1784885734590231714,1784885734603959288,381.237229968,352.014891918,0.20021589892813504,0.1986331645492565
1784885734640218246,1784885734645278020,381.611521332,352.393785225,0.2010072661175743,0.19942453173869576
1784885734690289631,1784885734693137948,381.860026254,352.64689209,0.2010072661175743,0.19942453173869576
1784885734740308971,1784885734748845451,382.11159913800003,352.899998955,0.20021589892813504,0.19942453173869576
1784885734790417871,1784885734795327938,382.481288559,353.274290319,0.19784179735981722,0.20021589892813504
1784885734840391726,1784885734854317364,382.725191538,353.52586320300003,0.1962590629809387,0.19784179735981722
1784885734890514582,1784885734893405530,383.094880959,353.901688548,0.1986331645492565,0.20021589892813504
1784885734940531753,1784885734943455507,383.344919862,354.148659489,0.19784179735981722,0.19942453173869576
1784885734990553799,1784885734997184111,383.594958765,354.39869839200003,0.19942453173869576,0.1986331645492565
1784885735040617294,1784885735043367812,383.973852072,354.769921794,0.19705043017037796,0.19942453173869576
1784885735090700093,1784885735100749540,384.21622107,355.018426716,0.19784179735981722,0.19784179735981722
1784885735140643681,1784885735143990222,384.590512434,355.389650118,0.20021589892813504,0.19784179735981722
1784885735190693544,1784885735204614682,384.842085318,355.63815504,0.2010072661175743,0.19784179735981722
1784885735240729025,1784885735245888103,385.219444644,356.010912423,0.19705043017037796,0.1986331645492565
1784885735290934465,1784885735295496333,385.469483547,356.260951326,0.1986331645492565,0.19942453173869576
1784885735340832959,1784885735350150953,385.717988469,356.509456248,0.1986331645492565,0.20021589892813504
1784885735390905675,1784885735393453391,386.093813814,356.889883536,0.19705043017037796,0.1986331645492565
1784885735440892318,1784885735453922737,386.346920679,357.136854477,0.1986331645492565,0.20021589892813504
1784885735490977286,1784885735494717031,386.728881948,357.517281765,0.19942453173869576,0.19942453173869576
1784885735541012822,1784885735544972142,386.981988813,357.768854649,0.2010072661175743,0.19942453173869576
1784885735591144736,1784885735598283271,387.235095678,358.018893552,0.20021589892813504,0.19942453173869576
1784885735641133863,1784885735644118672,387.612455004,358.397786859,0.20021589892813504,0.19784179735981722
1784885735691121081,1784885735703837122,387.862493907,358.6447578,0.20021589892813504,0.19784179735981722
1784885735741160695,1784885735745539370,388.23525129,359.025185088,0.2010072661175743,0.20021589892813504
1784885735791249276,1784885735794085514,388.483756212,359.27369001,0.20021589892813504,0.1986331645492565
1784885735841292393,1784885735847157570,388.732261134,359.523728913,0.19942453173869576,0.2010072661175743
1784885735891480855,1784885735896071915,389.103484536,359.904156201,0.1962590629809387,0.1986331645492565
1784885735941327102,1784885735950421869,389.345853534,360.151127142,0.19784179735981722,0.19942453173869576
1784885735991427378,1784885735994492699,389.717076936,360.523884525,0.1986331645492565,0.20021589892813504
1784885736041483105,1784885736054284663,389.96864982,360.772389447,0.2010072661175743,0.19942453173869576
1784885736091513417,1784885736094693299,390.344475165,361.14514683,0.1986331645492565,0.19784179735981722
1784885736141482198,1784885736145898548,390.594514068,361.389049809,0.1986331645492565,0.19942453173869576
1784885736191546686,1784885736199753174,390.84301899,361.639088712,0.19942453173869576,0.1986331645492565
1784885736241632932,1784885736245065186,391.21884433500003,362.011846095,0.19942453173869576,0.19705043017037796
1784885736291654293,1784885736302319298,391.470417219,362.260351017,0.1986331645492565,0.19784179735981722
1784885736341652708,1784885736343895236,391.844708583,362.634642381,0.19784179735981722,0.1986331645492565
1784885736391757766,1784885736394857342,392.093213505,362.883147303,0.1986331645492565,0.20021589892813504
1784885736441803999,1784885736448071114,392.34632037,363.137788149,0.19784179735981722,0.1986331645492565
1784885736491781342,1784885736495490488,392.725213677,363.515147475,0.19784179735981722,0.1986331645492565
1784885736541813915,1784885736551598612,392.97985452300003,363.763652397,0.19942453173869576,0.19942453173869576
1784885736591902237,1784885736594794497,393.35874783,364.141011723,0.20021589892813504,0.19942453173869576
1784885736641917519,1784885736654241373,393.613388676,364.391050626,0.20021589892813504,0.20021589892813504
1784885736692002357,1784885736695842164,393.98768004,364.768409952,0.20021589892813504,0.1986331645492565
1784885736741993489,1784885736746704468,394.237718943,365.019982836,0.20021589892813504,0.19784179735981722
1784885736792027619,1784885736801313688,394.483155903,365.273089701,0.19942453173869576,0.1986331645492565
1784885736842077669,1784885736845904985,394.85591328600003,365.648915046,0.20021589892813504,0.20021589892813504
1784885736892180930,1784885736903631556,395.101350246,365.89895394900003,0.19942453173869576,0.2010072661175743
1784885736942155011,1784885736944360953,395.471039667,366.280915218,0.19705043017037796,0.19942453173869576
1784885736992191235,1784885736996490324,395.719544589,366.52942014,0.19784179735981722,0.1986331645492565
1784885737042245261,1784885737047955144,395.968049511,366.7748571,0.19784179735981722,0.19942453173869576
1784885737092288082,1784885737096110696,396.342340875,367.149148464,0.20021589892813504,0.19942453173869576
1784885737142333832,1784885737151988072,396.59391375900003,367.396119405,0.19942453173869576,0.1986331645492565
1784885737192440426,1784885737196078173,396.969739104,367.768876788,0.19784179735981722,0.1986331645492565
1784885737242464863,1784885737255757146,397.218244026,368.014313748,0.19784179735981722,0.19784179735981722
1784885737292440058,1784885737295945776,397.591001409,368.387071131,0.19942453173869576,0.19784179735981722
1784885737342456915,1784885737344693624,397.842574293,368.637110034,0.1986331645492565,0.19784179735981722
1784885737392526424,1784885737399925162,398.095681158,368.885614956,0.19784179735981722,0.19942453173869576
1784885737442563259,1784885737445815984,398.469972522,369.262974282,0.19784179735981722,0.19942453173869576
1784885737492754438,1784885737503532332,398.71847744400003,369.513013185,0.19784179735981722,0.1986331645492565
1784885737542627998,1784885737545987657,399.09583677,369.890372511,0.1986331645492565,0.20021589892813504
1784885737592665686,1784885737595385216,399.352011597,370.143479376,0.1986331645492565,0.1986331645492565
1784885737642684600,1784885737648508461,399.605118462,370.393518279,0.19942453173869576,0.19942453173869576
1784885737692781445,1784885737697118182,399.984011769,370.772411586,0.19942453173869576,0.20021589892813504
1784885737742760068,1784885737753614022,400.234050672,371.020916508,0.188345391086546,0.21208640676972407
1784885737792848333,1784885737795706305,400.582264359,371.424353511,0.1780576176238355,0.22079144585355603
1784885737842851587,1784885737856210070,400.803157623,371.706606015,0.17251804729776063,0.22553964899019163
1784885737892939962,1784885737897969740,401.12069169,372.133052733,0.1709353129188821,0.22791375055850946
1784885737942957616,1784885737945413737,401.332381068,372.422975142,0.17014394572944283,0.22870511774794872
1784885737993060893,1784885738000850380,401.544070446,372.706761627,0.16935257854000355,0.22791375055850946
1784885738043000143,1784885738046327361,401.863138494,373.134742326,0.17014394572944283,0.22870511774794872
1784885738093045920,1784885738105045272,402.074827872,373.41699483,0.17014394572944283,0.22791375055850946
1784885738143085582,1784885738146181237,402.395429901,373.841907567,0.17014394572944283,0.22553964899019163
1784885738193204061,1784885738195740297,402.60865326,374.12262609,0.16935257854000355,0.22633101617963092
1784885738243171261,1784885738249117480,402.8234106,374.404878594,0.1709353129188821,0.22553964899019163
1784885738293212071,1784885738297215685,403.14554661,374.832859293,0.16935257854000355,0.22633101617963092
1784885738343237722,1784885738353979352,403.36030395,375.11357781600003,0.17014394572944283,0.22870511774794872
1784885738393291319,1784885738396470982,403.679371998,375.544626477,0.1709353129188821,0.22791375055850946
1784885738443340895,1784885738456577620,403.895663319,375.829946943,0.17014394572944283,0.22791375055850946
1784885738493415379,1784885738497776020,404.214731367,376.265597547,0.17172668010832134,0.22870511774794872
1784885738543477131,1784885738546417114,404.431022688,376.550918013,0.16935257854000355,0.22633101617963092
1784885738593411602,1784885738602715117,404.645780028,376.83623847900003,0.17014394572944283,0.22712238336907017
1784885738643476152,1784885738648154921,404.967916038,377.26728714,0.1733094144871999,0.22316554742187383
1784885738693527396,1784885738704297585,405.191877264,377.548005663,0.1859712895182282,0.2112950395802848
1784885738743570356,1784885738746799371,405.549294837,377.948374704,0.19467632860206016,0.20259000049645284
