t_ns,t_bag_ns,mx,my,mz
1784885683040392555,1784885683049014481,0.0,0.0,0.0
1784885683090362612,1784885683092586750,0.0,0.0,0.0
1784885683140341204,1784885683153418999,0.0,0.0,0.0
1784885683190317871,1784885683194539550,0.0,0.0,0.0
1784885683240455423,1784885683244595965,0.0,0.0,0.0
1784885683290341324,1784885683296555192,0.0,0.0,0.0
1784885683340317102,1784885683342509467,0.0,0.0,0.0
1784885683390303175,1784885683400521474,0.0,0.0,0.0
1784885683440398881,1784885683446624599,0.0,0.0,0.0
1784885683490520361,1784885683493158517,0.0,0.0,0.0
1784885683540332069,1784885683545724642,0.0,0.0,0.0
1784885683590279110,1784885683594081828,0.0,0.0,0.0
1784885683640273459,1784885683649000019,0.0,0.0,0.0
1784885683690310377,1784885683693529305,0.0,0.0,0.0
1784885683740333370,1784885683752618626,0.0,0.0,0.0
1784885683790259674,1784885683793562479,0.0,0.0,0.0
1784885683840261892,1784885683842931655,0.0,0.0,0.0
1784885683890293422,1784885683897538629,0.0,0.0,0.0
1784885683940291456,1784885683943866279,0.0,0.0,0.0
1784885683990232757,1784885684000552875,0.0,0.0,0.0
1784885684040256756,1784885684042989622,0.0,0.0,0.0
1784885684090605343,1784885684092801282,0.0,0.0,0.0
1784885684140301315,1784885684146057044,0.0,0.0,0.0
1784885684190217832,1784885684192997506,0.0,0.0,0.0
1784885684240268533,1784885684250799069,0.0,0.0,0.0
1784885684290213879,1784885684294407710,0.0,0.0,0.0
1784885684340183203,1784885684352554652,0.0,0.0,0.0
1784885684390188114,1784885684394562328,0.0,0.0,0.0
1784885684440201025,1784885684443518606,0.0,0.0,0.0
1784885684490201289,1784885684497529542,0.0,0.0,0.0
1784885684540153374,1784885684543828851,0.0,0.0,0.0
1784885684590198891,1784885684600570448,0.0,0.0,0.0
1784885684640237390,1784885684643505997,0.0,0.0,0.0
1784885684690195494,1784885684693336266,0.0,0.0,0.0
1784885684740168039,1784885684745881329,0.0,0.0,0.0
1784885684790117995,1784885684792971715,0.0,0.0,0.0
1784885684840114223,1784885684849846516,0.0,0.0,0.0
1784885684890125300,1784885684893488449,0.0,0.0,0.0
1784885684940165077,1784885684952607350,0.0,0.0,0.0
1784885684990191986,1784885684994480341,0.0,0.0,0.0
1784885685040094306,1784885685042750812,0.0,0.0,0.0
1784885685090096114,1784885685097586217,0.0,0.0,0.0
1784885685140077611,1784885685141876457,0.0,0.0,0.0
1784885685190126913,1784885685201522369,0.0,0.0,0.0
1784885685240187862,1784885685242988552,0.0,0.0,0.0
1784885685290043727,1784885685293768772,0.0,0.0,0.0
1784885685340140115,1784885685348042495,0.0,0.0,0.0
1784885685390068730,1784885685393068189,0.0,0.0,0.0
1784885685440120532,1784885685449637319,0.0,0.0,0.0
1784885685490121026,1784885685493512524,0.0,0.0,0.0
1784885685540009702,1784885685541657087,0.0,0.0,0.0
1784885685590043284,1784885685596648322,0.0,0.0,0.0
1784885685639994062,1784885685643748344,0.0,0.0,0.0
1784885685689996963,1784885685699245399,0.0,0.0,0.0
1784885685740333911,1784885685741849574,0.0,0.0,0.0
1784885685790355273,1784885685801697939,0.0,0.0,0.0
