t_ns,x,y,yaw,n_matched,inlier_frac,rmse_m,quality
1784885742820167607,5.823553384369634,-2.8870369151612802,-3.0478711235338043,220,1.0,0.00662,good
1784885742930189195,5.800835925907641,-2.8889003371622954,-3.0542541197012647,210,1.0,0.0076,good
1784885743040154226,5.777642459159567,-2.8904554377825065,-3.0700184733047595,214,1.0,0.00751,good
1784885743150169876,5.755166893135731,-2.8916345996235515,-3.0808044896308773,217,1.0,0.00962,good
1784885743260184450,5.733751599121722,-2.8920554067300324,-3.0884933831771795,207,1.0,0.01005,good
1784885743370145862,5.71264133786756,-2.89323955096379,-3.0986139025541135,209,1.0,0.00901,good
1784885743490175460,5.690763306675613,-2.8927026702822065,-3.1005386267779795,203,1.0,0.00777,good
1784885743600187107,5.6701373132886355,-2.8953547793731103,-3.09660721060924,203,1.0,0.00969,good
1784885743710168921,5.647838888112224,-2.8972254935453097,-3.0997609448295966,211,1.0,0.00768,good
1784885743820179419,5.631142264431687,-2.8965447705741183,-3.1052724616296516,211,1.0,0.00926,good
1784885743930185544,5.606448415646155,-2.8984077028518542,-3.101115011095245,212,1.0,0.00811,good
1784885744040143782,5.582326048483053,-2.8992522762134243,-3.095683643926277,202,1.0,0.00894,good
1784885744150171082,5.5655452997026265,-2.898786672320011,-3.1003451825541086,204,1.0,0.00981,good
1784885744260189154,5.543447420567274,-2.8997574304403937,-3.097345348033473,209,1.0,0.00854,good
1784885744380205570,5.520726840168366,-2.9023673556933303,-3.0992406719502243,212,1.0,0.00826,good
1784885744490175558,5.498449116425646,-2.9049769107901375,-3.08834634634475,199,1.0,0.00709,good
1784885744600172043,5.476765269888875,-2.906925041362024,-3.093102702615353,204,0.9853,0.01094,good
1784885744710152519,5.452246814637753,-2.9103647950428027,-3.0881774045489783,204,0.9902,0.01236,good
1784885744820144705,5.430507994358514,-2.909901227009296,-3.09548127255818,198,0.9949,0.00655,good
1784885744930168763,5.405886542692824,-2.9105223187301785,-3.0926729686534045,200,1.0,0.00816,good
1784885745040158620,5.384375673473546,-2.9116230698701986,-3.093551950460896,205,1.0,0.00986,good
1784885745150156653,5.361508400094965,-2.913351412710947,-3.09177814673054,209,1.0,0.00792,good
1784885745260168897,5.341210592578498,-2.9150491897039656,-3.091875074800986,210,1.0,0.01151,good
1784885745370161185,5.321404418540434,-2.9181672843515742,-3.079502585379704,206,1.0,0.00797,good
1784885745490183752,5.300550600018667,-2.920032417939411,-3.086432168299261,209,0.9904,0.01084,good
1784885745600160920,5.2826071571763675,-2.9196422143629874,-3.0909006169017017,210,0.9952,0.01033,good
1784885745710150948,5.258540149801909,-2.9205971579518932,-3.087795275041317,204,0.9951,0.00877,good
1784885745820163081,5.235681685194275,-2.920781026725973,-3.087132535612871,210,0.9952,0.01096,good
1784885745930150829,5.213032182147481,-2.920841994009818,-3.086522822633492,200,1.0,0.01108,good
1784885746040161761,5.192599931347638,-2.9251881432629783,-3.0914658859554014,211,1.0,0.00925,good
1784885746150165717,5.1705531527963995,-2.9291148234948206,-3.088542535358245,214,1.0,0.01198,good
1784885746270532938,5.146499275153108,-2.932947409353766,-3.0811389996049603,209,1.0,0.01002,good
1784885746380170372,5.124757747557257,-2.934694214899493,-3.0847557457381765,210,1.0,0.00943,good
1784885746490183760,5.102553615126993,-2.936113241369955,-3.0893700176336587,213,1.0,0.00784,good
1784885746600165314,5.079447347773271,-2.938690111390341,-3.0985132844388152,209,1.0,0.00722,good
1784885746710156393,5.058083299555603,-2.940326261997878,-3.111667293072517,212,0.9953,0.00648,good
1784885746830164207,5.039042723120461,-2.9403577758565245,-3.12761479982673,215,0.9953,0.01019,good
1784885746940165680,5.017396278970665,-2.9387715677531507,-3.1310095968434344,210,1.0,0.01102,good
1784885747050150065,4.994416729033763,-2.936652041054802,-3.1348058161891625,216,1.0,0.01097,good
1784885747160188901,4.975556709056721,-2.9406471546541244,-3.130979825723866,211,1.0,0.01118,good
1784885747270177950,4.952823926785028,-2.9404628928145304,-3.1282234011308634,214,0.9953,0.01271,good
1784885747390288528,4.931594801435211,-2.942553233224292,-3.125160975893275,210,1.0,0.0084,good
1784885747500156826,4.908952598872191,-2.942119779552816,-3.1198707264620524,206,1.0,0.00735,good
1784885747610148914,4.884109655832104,-2.940513526593105,-3.119114662526666,206,1.0,0.01183,good
1784885747720178577,4.862891379617056,-2.9423799582228325,-3.1230322858953636,211,0.9905,0.01016,good
1784885747830152544,4.838987028927055,-2.9425362453376174,-3.130292794369984,215,1.0,0.01061,good
1784885747950153729,4.814143489346153,-2.943346395178028,-3.121174990086744,208,1.0,0.01105,good
1784885748060159173,4.792867446900313,-2.943667031698602,-3.120288096836686,211,1.0,0.00983,good
1784885748170154851,4.770967731822485,-2.9458254316168246,-3.1245707263836064,211,1.0,0.01062,good
1784885748280150419,4.746332982364643,-2.9443685532641024,-3.1257412676294165,213,0.9953,0.01205,good
1784885748390143930,4.724567450018023,-2.9446638359608275,-3.1242530588938657,205,0.9951,0.00703,good
1784885748510153363,4.699215065657389,-2.944305922913356,-3.1116967824336217,211,1.0,0.01046,good
1784885748620167181,4.682096756669922,-2.9467664321201323,-3.1149025837244224,212,1.0,0.0114,good
1784885748720163780,4.66280847520642,-2.947197365309911,-3.11487093345546,206,1.0,0.01125,good
1784885748840170175,4.639436812334878,-2.947430204679701,-3.1129295205738785,215,0.9953,0.01315,good
1784885748950188069,4.6170109437364895,-2.947920982177246,-3.1207177588325177,212,1.0,0.01395,good
1784885749060165865,4.592663729602993,-2.9487157228850545,-3.1125897781268597,211,0.9953,0.00839,good
1784885749170191518,4.5706628631255475,-2.9473329558437147,-3.116550902531584,210,0.9952,0.00825,good
1784885749280148561,4.550231304977932,-2.947379660151651,-3.1132824204656764,210,0.9952,0.01059,good
1784885749400166992,4.529065547488587,-2.948744916502692,-3.119568041837553,213,1.0,0.01085,good
1784885749510149030,4.509403348167612,-2.9492552775906025,-3.1180684383430886,209,1.0,0.00944,good
1784885749620201196,4.484750347918957,-2.951491977995135,-3.112629750965174,207,0.9952,0.01164,good
1784885749730161945,4.463007421466687,-2.952602741985672,-3.1050011849137533,201,1.0,0.01028,good
1784885749840199345,4.441368659812188,-2.9521620226972685,-3.1106390218595883,208,0.9952,0.00734,good
1784885749950159482,4.4197819642399345,-2.9549782396174606,-3.112801498386464,214,1.0,0.01402,good
1784885750060191615,4.401953016204695,-2.955557574743469,-3.113251984928512,208,1.0,0.00891,good
1784885750170172769,4.381618082374652,-2.956363022200699,-3.1145261365509733,210,1.0,0.01266,good
1784885750280151497,4.35861279742595,-2.957060872013423,-3.1003004352995998,213,1.0,0.01214,good
1784885750390202427,4.3404945750080905,-2.9583302536956153,-3.10274604865297,207,0.9952,0.00905,good
1784885750510157988,4.316796296768403,-2.9564227719901286,-3.1083193176142103,213,1.0,0.00955,good
1784885750610161531,4.298768562793282,-2.959653867351818,-3.093993878713484,216,0.9954,0.00693,good
1784885750720151857,4.277567347713329,-2.958043984948905,-3.1011236223854723,210,1.0,0.00976,good
1784885750840156350,4.252420166492528,-2.958783322366094,-3.100846016242099,218,0.9954,0.00752,good
1784885750940158911,4.230655671068841,-2.9607479822688405,-3.095533801759096,213,0.9906,0.00632,good
1784885751060189406,4.2062277418785925,-2.963874805812222,-3.093307463556993,213,1.0,0.01059,good
1784885751170152674,4.184478823568293,-2.963854004270839,-3.0993425105995,214,0.9953,0.00944,good
1784885751280149310,4.161943814966176,-2.966505933467166,-3.100788551655867,221,1.0,0.00843,good
1784885751390172069,4.1378348652059,-2.9681477715904503,-3.0949145124513078,213,1.0,0.00829,good
1784885751500165444,4.121520658125626,-2.9711892390719137,-3.0886137323286373,207,0.9952,0.00766,good
1784885751610154057,4.098439362464497,-2.97225257929137,-3.096087752623501,208,1.0,0.01008,good
1784885751720154677,4.076370062857192,-2.9729448256366537,-3.094405502552461,218,0.9954,0.00785,good
1784885751830165023,4.0549161099112085,-2.971382726029038,-3.0961534079583313,216,1.0,0.01143,good
1784885751950161001,4.030850412142607,-2.9714911588987456,-3.091965128520692,215,0.9953,0.01086,good
1784885752060173829,4.008994575016142,-2.974875486063488,-3.0910225985276334,208,0.9952,0.012,good
1784885752170253513,3.984891241733698,-2.9770081454104744,-3.099433790139618,206,1.0,0.01159,good
1784885752280151314,3.9623548821163364,-2.9777904259566257,-3.092464149194038,204,1.0,0.00988,good
1784885752400225528,3.938145781831374,-2.976816462559562,-3.086873481266147,200,0.995,0.00969,good
1784885752510166164,3.917677817891846,-2.9766771641042093,-3.0861243034979515,206,0.9903,0.00876,good
1784885752620176037,3.896893897294907,-2.9755297587116196,-3.087754409721649,201,0.995,0.01286,good
1784885752740152502,3.872149667970121,-2.9752402020708586,-3.0867604228807064,196,1.0,0.01071,good
1784885752850156168,3.8491435293138037,-2.9807598545759633,-3.083643824350525,196,1.0,0.01186,good
1784885752960191479,3.826488642426206,-2.9844605053516675,-3.077723568867431,204,1.0,0.01095,good
1784885753070156554,3.808279783952838,-2.98471869487712,-3.0861318835586906,200,0.99,0.01189,good
1784885753180151810,3.785562792821694,-2.98702416754971,-3.089574382950822,200,0.995,0.00584,good
1784885753290161016,3.766996846157515,-2.989122804113989,-3.0863398492413325,203,0.9852,0.01016,good
1784885753400168796,3.74403787907194,-2.9941570923050875,-3.080724195766575,210,1.0,0.00888,good
