t_ns,t_bag_ns,n_beams,n_finite,angle_min,angle_max,angle_increment_raw,time_increment_s,scan_time_s
1784885707860155110,1784885707860511771,278,255,0.016702763736248016,6.2773823738098145,0.022529905661940575,0.00043634517351165414,0.12125294655561447
1784885707990163167,1784885707990441355,279,254,0.012628857977688313,6.2731032371521,0.02251472882926464,0.00043635949259623885,0.12133467942476273
1784885708110186850,1784885708110705924,279,259,0.020043188706040382,6.280543327331543,0.022499551996588707,0.00043635774636641145,0.12141652405261993
1784885708230158434,1784885708230550532,278,251,0.025806849822402,6.2823052406311035,0.02251472882926464,0.00043663682299666107,0.12133467942476273
1784885708350189298,1784885708350837133,279,249,0.005762801039963961,6.266677379608154,0.022461609914898872,0.00043632881715893745,0.12162162363529205
1784885708470204385,1784885708470744588,279,252,0.015298050828278065,6.276134967803955,0.022507140412926674,0.0004363342304714024,0.12137559056282043
1784885708600186184,1784885708600893112,278,254,0.002906699199229479,6.263145923614502,0.022522317245602608,0.000436375878052786,0.1212937980890274
1784885708720167227,1784885708720550925,278,249,0.007146171759814024,6.267403602600098,0.022529905661940575,0.0004363745974842459,0.12125294655561447
1784885708840170644,1784885708840709342,278,250,0.008764762431383133,6.268975734710693,0.022552670910954475,0.0004363778862170875,0.1211305484175682
1784885708970167662,1784885708970566431,276,248,0.007482585962861776,6.267518997192383,0.022749967873096466,0.0004363899934105575,0.12008005380630493
1784885709080180440,1784885709080621639,276,249,0.009197985753417015,6.269137382507324,0.022727202624082565,0.0004363968037068844,0.12020033597946167
1784885709210192597,1784885709210647433,276,248,0.018410474061965942,6.278574466705322,0.022727202624082565,0.0004363811167422682,0.12020033597946167
1784885709320159253,1784885709320567084,276,249,0.004485259763896465,6.2644171714782715,0.022681672126054764,0.00043639729847200215,0.12044161558151245
1784885709450171596,1784885709450573649,276,251,0.0175752192735672,6.277709007263184,0.022696848958730698,0.00043638324132189155,0.1203610822558403
1784885709570226838,1784885709570658580,275,246,0.010065814480185509,6.268983840942383,0.0227879099547863,0.000436468020780012,0.11988011747598648
1784885709690178984,1784885709690600879,277,246,0.0032386602833867073,6.263199329376221,0.022628553211688995,0.00043639529030770063,0.12072434276342392
1784885709810178972,1784885709810611513,277,253,0.006703000050038099,6.267024040222168,0.02261337637901306,0.00043637017370201647,0.12080536782741547
1784885709930185406,1784885709930549353,277,255,0.0014208628563210368,6.261561393737793,0.022674083709716797,0.00043638277566060424,0.1204819306731224
1784885710060163774,1784885710060566217,277,253,0.014630836434662342,6.274610996246338,0.02266649529337883,0.0004363939515314996,0.12052226066589355
1784885710170162386,1784885710170524222,278,251,0.00573002640157938,6.266018390655518,0.022575436159968376,0.000436372502008453,0.12100840359926224
1784885710300205785,1784885710300528686,277,251,0.022754887118935585,6.283082485198975,0.02264373004436493,0.0004363696789368987,0.12064342945814133
1784885710420166762,1784885710420625749,276,254,0.0195961594581604,6.279726505279541,0.02268926054239273,0.0004363834741525352,0.12040133774280548
1784885710540149771,1784885710540511588,277,251,0.010999093763530254,6.270950794219971,0.022636141628026962,0.0004363959305919707,0.12068387866020203
1784885710660215497,1784885710661528427,277,251,0.0213894322514534,6.281745433807373,0.022636141628026962,0.00043636769987642765,0.12068387866020203
1784885710780166017,1784885710780862122,277,249,0.010231846012175083,6.270528793334961,0.022674083709716797,0.00043637186172418296,0.1204819306731224
1784885710910183521,1784885710910618731,276,250,0.003024923149496317,6.262977600097656,0.022696848958730698,0.0004363958432804793,0.1203610822558403
1784885711030188736,1784885711030591015,277,249,0.020402757450938225,6.280402183532715,0.022628553211688995,0.00043639258365146816,0.12072434276342392
1784885711150177868,1784885711150752556,277,257,0.005569182336330414,6.265703201293945,0.022628553211688995,0.0004363831540104002,0.12072434276342392
1784885711270166759,1784885711270627932,277,251,0.01804892159998417,6.278215408325195,0.022605789825320244,0.00043638094211928546,0.12084592133760452
1784885711390216196,1784885711390688363,277,249,0.009299767203629017,6.269435405731201,0.022658906877040863,0.00043638309580273926,0.12056262791156769
1784885711510172863,1784885711510547544,277,252,0.0017589990748092532,6.261892795562744,0.022658906877040863,0.0004363832122180611,0.12056262791156769
1784885711630171096,1784885711630645121,276,255,0.012681412510573864,6.272846221923828,0.02271202579140663,0.0004363810585346073,0.12028065323829651
1784885711760175871,1784885711760578373,276,245,0.012804475612938404,6.272791385650635,0.022749967873096466,0.00043639345676638186,0.12008005380630493
1784885711880148028,1784885711880501369,276,252,0.0077374596148729324,6.267858982086182,0.02271202579140663,0.0004363840853329748,0.12028065323829651
1784885712000173042,1784885712000539124,276,254,0.023815739899873734,6.283007621765137,0.022749967873096466,0.00043644889956340194,0.12008005380630493
1784885712120183272,1784885712120723846,276,257,0.013026559725403786,6.273012161254883,0.02268926054239273,0.00043639354407787323,0.12040133774280548
1784885712240151822,1784885712240511735,277,260,0.0030615306459367275,6.263171672821045,0.022674083709716797,0.00043638484203256667,0.1204819306731224
1784885712360208280,1784885712360729338,276,255,0.022556930780410767,6.282330513000488,0.022749967873096466,0.00043640832882374525,0.12008005380630493
1784885712480155365,1784885712480509948,276,261,0.007838884368538857,6.267780780792236,0.0227196142077446,0.00043639657087624073,0.1202404797077179
1784885712600157006,1784885712600538273,275,259,0.014031141996383667,6.274196624755859,0.022780321538448334,0.0004363810003269464,0.11992005258798599
1784885712730175309,1784885712730607438,275,260,0.020965268835425377,6.280957221984863,0.022772733122110367,0.0004363931075204164,0.1199600100517273
1784885712840157132,1784885712840516487,276,255,0.002268273150548339,6.262412071228027,0.0227423794567585,0.00043638251372613013,0.12012012302875519
1784885712970322078,1784885712970898547,275,255,0.005182964261621237,6.2642598152160645,0.022772733122110367,0.00043645690311677754,0.1199600100517273
1784885713080161514,1784885713080589715,276,259,0.00285876402631402,6.262805461883545,0.022704437375068665,0.0004363962507341057,0.12032085657119751
