t_ns,t_bag_ns,left_wheel_rad,right_wheel_rad,left_wheel_vel,right_wheel_vel
1789550084758202385,1789550084764139597,274.620948525,426.458989848,0.0,0.0
1789550084764530186,1789550084775782451,274.620948525,426.458989848,0.0,0.0
1789550084776210465,1789550084780397344,274.619414544,426.458989848,0.0,0.0
1789550084782724874,1789550084784749056,274.619414544,426.458989848,0.0,0.0
1789550084787276380,1789550084796843015,274.619414544,426.458989848,0.0,0.0
1789550084796511556,1789550084798793679,274.619414544,426.458989848,0.0,0.0
1789550084801358132,1789550084803687903,274.619414544,426.458989848,0.0,0.0
1789550084804272915,1789550084822756897,274.619414544,426.458989848,0.0,0.0
1789550084820710901,1789550084825154741,274.619414544,426.458989848,0.0,0.0
1789550084825947954,1789550084838935367,274.619414544,426.458989848,0.0,0.0
1789550084839605212,1789550084844188180,274.619414544,426.458989848,0.0,0.0
1789550084847376478,1789550084859640880,274.619414544,426.458989848,0.0,0.0
1789550084860504037,1789550084863453116,274.619414544,426.458989848,0.0,0.0
1789550084864220589,1789550084868437357,274.619414544,426.458989848,0.0,0.0
1789550084869156942,1789550084879445792,274.619414544,426.458989848,0.0,0.0
1789550084880466540,1789550084886375567,274.619414544,426.458989848,0.0,0.0
1789550084887028745,1789550084890007435,274.619414544,426.458989848,0.0,0.0
1789550084890966517,1789550084900920778,274.619414544,426.458989848,0.0,0.0
1789550084903465324,1789550084906573642,274.619414544,426.458989848,0.0,0.0
1789550084907933330,1789550084910664226,274.619414544,426.458989848,0.0,0.0
1789550084912260227,1789550084923896395,274.619414544,426.458989848,0.0,0.0
1789550084923879877,1789550084928767249,274.619414544,426.458989848,0.0,0.0
1789550084928316495,1789550084931845308,274.619414544,426.458989848,0.0,0.0
1789550084932255470,1789550084943966138,274.619414544,426.458989848,0.0,0.0
1789550084945161384,1789550084948049778,274.619414544,426.458989848,0.0,0.0
1789550084952984946,1789550084964328303,274.619414544,426.458989848,0.0,0.0
1789550084964982203,1789550084969230063,274.619414544,426.458989848,0.0,0.0
1789550084969498968,1789550084973834365,274.619414544,426.458989848,0.0,0.0
1789550084974311341,1789550084985672660,274.619414544,426.458989848,0.0,0.0
1789550084988763293,1789550084997310773,274.619414544,426.458989848,0.0,0.0
