t_ns,t_bag_ns,wx,wy,wz,ax,ay,az,qx,qy,qz,qw
1789550267420934443,1789550267425414822,-0.025540800765156746,0.02766920067369938,-0.004256799817085266,0.1711854189634323,1.0127472877502441,12.295422554016113,0.0025971687864512205,-0.014299300499260426,0.9318850636482239,0.3624502718448639
1789550267424948088,1789550267436408175,-0.025540800765156746,-0.043632201850414276,-0.005320999771356583,-0.33518823981285095,-1.3138182163238525,9.944914817810059,0.000715174013748765,-0.014819958247244358,0.9318830966949463,0.36244332790374756
1789550267436033818,1789550267439917665,-0.025540800765156746,-0.043632201850414276,-0.005320999771356583,-0.33518823981285095,-1.3138182163238525,9.944914817810059,0.000715174013748765,-0.014819958247244358,0.9318830966949463,0.36244332790374756
1789550267440943175,1789550267444596424,-0.025540800765156746,-0.043632201850414276,-0.005320999771356583,-0.33518823981285095,-1.3138182163238525,9.944914817810059,0.000715174013748765,-0.014819958247244358,0.9318830966949463,0.36244332790374756
1789550267456115761,1789550267457879468,0.04043959826231003,-0.004256799817085266,-0.012770400382578373,0.5345055460929871,-0.23343466222286224,7.713519096374512,0.0018415156519040465,-0.016290683299303055,0.9318055510520935,0.36257559061050415
1789550267461058855,1789550267462940953,0.04043959826231003,-0.004256799817085266,-0.012770400382578373,0.5345055460929871,-0.23343466222286224,7.713519096374512,0.0018415156519040465,-0.016290683299303055,0.9318055510520935,0.36257559061050415
1789550267464234538,1789550267476972971,-0.056402601301670074,0.004256799817085266,0.008513599634170532,-0.16519992053508759,0.922366201877594,10.523713111877441,0.0022222099360078573,-0.014433464035391808,0.931834876537323,0.3625766932964325
1789550267478863032,1789550267482142812,-0.056402601301670074,0.004256799817085266,0.008513599634170532,-0.16519992053508759,0.922366201877594,10.523713111877441,0.0022222099360078573,-0.014433464035391808,0.931834876537323,0.3625766932964325
1789550267482803723,1789550267488593110,-0.056402601301670074,0.004256799817085266,0.008513599634170532,-0.16519992053508759,0.922366201877594,10.523713111877441,0.0022222099360078573,-0.014433464035391808,0.931834876537323,0.3625766932964325
1789550267488140060,1789550267497952868,-0.011706200428307056,-0.09364960342645645,-0.025540800765156746,-0.70090252161026,-1.1893197298049927,9.44871711730957,0.0007636261289007962,-0.015927070751786232,0.9317964911460876,0.362619012594223
1789550267502062759,1789550267506273618,-0.011706200428307056,-0.09364960342645645,-0.025540800765156746,-0.70090252161026,-1.1893197298049927,9.44871711730957,0.0007636261289007962,-0.015927070751786232,0.9317964911460876,0.362619012594223
1789550267506641606,1789550267519043287,0.05108160153031349,0.012770400382578373,-0.028733400627970695,0.7565677165985107,0.11671733111143112,8.638279914855957,0.0032000350765883923,-0.016055339947342873,0.9316531419754028,0.36296790838241577
1789550267520008324,1789550267523107722,0.05108160153031349,0.012770400382578373,-0.028733400627970695,0.7565677165985107,0.11671733111143112,8.638279914855957,0.0032000350765883923,-0.016055339947342873,0.9316531419754028,0.36296790838241577
1789550267524535474,1789550267528262694,0.05108160153031349,0.012770400382578373,-0.028733400627970695,0.7565677165985107,0.11671733111143112,8.638279914855957,0.0032000350765883923,-0.016055339947342873,0.9316531419754028,0.36296790838241577
1789550267529330013,1789550267539051334,-0.04895320162177086,0.03618279844522476,-0.005320999771356583,-0.7535749673843384,0.7457938194274902,11.096526145935059,0.002416775794699788,-0.014112458564341068,0.9316492080688477,0.3630647659301758
1789550267540379062,1789550267544301812,-0.04895320162177086,0.03618279844522476,-0.005320999771356583,-0.7535749673843384,0.7457938194274902,11.096526145935059,0.002416775794699788,-0.014112458564341068,0.9316492080688477,0.3630647659301758
1789550267548524873,1789550267562547281,0.0,-0.02447660081088543,-0.035118598490953445,0.5704185366630554,-1.048061728477478,9.6803560256958,0.0017062026308849454,-0.016331110149621964,0.9315233826637268,0.3632989823818207
1789550267560792517,1789550267563420682,0.0,-0.02447660081088543,-0.035118598490953445,0.5704185366630554,-1.048061728477478,9.6803560256958,0.0017062026308849454,-0.016331110149621964,0.9315233826637268,0.3632989823818207
1789550267565127730,1789550267567445899,0.0,-0.02447660081088543,-0.035118598490953445,0.5704185366630554,-1.048061728477478,9.6803560256958,0.0017062026308849454,-0.016331110149621964,0.9315233826637268,0.3632989823818207
1789550267567797796,1789550267569850927,0.0,-0.02447660081088543,-0.035118598490953445,0.5704185366630554,-1.048061728477478,9.6803560256958,0.0017062026308849454,-0.016331110149621964,0.9315233826637268,0.3632989823818207
1789550267571642834,1789550267581429960,0.04576060175895691,0.050017401576042175,-0.02447660081088543,0.8421604633331299,0.5692214369773865,10.130465507507324,0.0036086009349673986,-0.016122916713356972,0.9313836097717285,0.36365240812301636
1789550267581522689,1789550267584751291,0.04576060175895691,0.050017401576042175,-0.02447660081088543,0.8421604633331299,0.5692214369773865,10.130465507507324,0.0036086009349673986,-0.016122916713356972,0.9313836097717285,0.36365240812301636
1789550267586591784,1789550267589979735,0.04576060175895691,0.050017401576042175,-0.02447660081088543,0.8421604633331299,0.5692214369773865,10.130465507507324,0.0036086009349673986,-0.016122916713356972,0.9313836097717285,0.36365240812301636
1789550267602413857,1789550267606243434,-0.02128399908542633,0.005320999771356583,0.0,-1.389235496520996,0.43933600187301636,10.181342124938965,0.002462240867316723,-0.014369660057127476,0.9313886165618896,0.36372271180152893
1789550267606993907,1789550267609428209,-0.02128399908542633,0.005320999771356583,0.0,-1.389235496520996,0.43933600187301636,10.181342124938965,0.002462240867316723,-0.014369660057127476,0.9313886165618896,0.36372271180152893
1789550267615074504,1789550267631347701,0.03086180053651333,-0.026605000719428062,-0.041503798216581345,0.3585317134857178,-0.7511807680130005,8.440757751464844,0.0016781823942437768,-0.01585063710808754,0.931269109249115,0.36397165060043335
1789550267624210255,1789550267631521122,0.03086180053651333,-0.026605000719428062,-0.041503798216581345,0.3585317134857178,-0.7511807680130005,8.440757751464844,0.0016781823942437768,-0.01585063710808754,0.931269109249115,0.36397165060043335
1789550267630967512,1789550267644198934,0.022348200902342796,0.06385199725627899,-0.025540800765156746,0.8271966576576233,0.751779317855835,11.564592361450195,0.0034790902864187956,-0.014977232553064823,0.9311146140098572,0.36439067125320435
1789550267645081444,1789550267649250402,0.022348200902342796,0.06385199725627899,-0.025540800765156746,0.8271966576576233,0.751779317855835,11.564592361450195,0.0034790902864187956,-0.014977232553064823,0.9311146140098572,0.36439067125320435
1789550267654140669,1789550267665121449,-0.014898800291121006,-0.04895320162177086,-0.01383460033684969,-1.1569979190826416,-0.6649895310401917,10.788870811462402,0.0018464187160134315,-0.014026090502738953,0.9310935139656067,0.3644944131374359
1789550267667094906,1789550267669057790,-0.014898800291121006,-0.04895320162177086,-0.01383460033684969,-1.1569979190826416,-0.6649895310401917,10.788870811462402,0.0018464187160134315,-0.014026090502738953,0.9310935139656067,0.3644944131374359
1789550267671416305,1789550267674047951,-0.014898800291121006,-0.04895320162177086,-0.01383460033684969,-1.1569979190826416,-0.6649895310401917,10.788870811462402,0.0018464187160134315,-0.014026090502738953,0.9310935139656067,0.3644944131374359
1789550267676415651,1789550267689208798,0.053210001438856125,-0.04256799817085266,-0.02766920067369938,0.811634361743927,-0.8200140595436096,8.169015884399414,0.00318534136749804,-0.016114497557282448,0.9309672117233276,0.3647213578224182
